Player,Squad,Rating,user,player,rating,Nation
Manu Trigueros,Villarreal,3.250965250965251,15,2358,3.2509653999999997,es
Lucien Agoume,Troyes,2.5093167701863357,35,431,2.5093167000000003,fr
Valère Germain,Monaco,1.9345454545454543,42,1563,1.9345453999999997,fr
Henrique Jocú,Portimonense,2.115606936416185,112,2773,2.115607,pt
José Mari,Levante,2.6893203883495147,7,519,2.6893203,es
Danny Welbeck,Arsenal,2.2222222222222223,56,477,2.2222223,en
Diego Farias,Sassuolo,2.178861788617886,78,538,2.1788619,br
Enzo Ebosse,Angers,2.1702127659574466,27,40,2.1702127,cm
Francesco Cassata,Sassuolo,1.2195121951219512,78,852,1.2195122,it
Alex Ferrari,Hellas Verona,2.3194444444444446,80,2004,2.3194444,it
Nani,Valencia,2.075,9,2324,2.075,pt
Miguel Juan Llambrich,Espanyol,2.128205128205128,2,754,2.128205,es
Farid Boulaya,Metz,2.661458333333333,45,1476,2.6614583,dz
Samir Santos,Watford,2.1513513513513507,75,2254,2.1513515,br
Samir Santos,Watford,2.1513513513513507,75,2254,2.1513515,br
Chris Wood,Leicester City,1.7541666666666669,107,497,1.7541667,nz
Chris Wood,Leicester City,1.7541666666666669,107,497,1.7541667,nz
Martín Cáceres,Cagliari,2.083769633507853,81,532,2.0837696,uy
Martín Cáceres,Cagliari,2.083769633507853,81,532,2.0837696,uy
Víctor Ruiz,Espanyol,2.2735042735042734,2,311,2.2735043,es
Théo Le Bris,Lorient,1.9585492227979275,36,1299,1.9585493000000003,fr
Arnaud Kalimuendo,Lens,1.7695652173913043,37,1186,1.7695651999999997,fr
Arnaud Kalimuendo,Lens,1.7695652173913043,37,1186,1.7695651999999997,fr
Lukas Klostermann,RB Leipzig,2.527272727272728,62,1781,2.5272727,de
Edoardo Goldaniga,Cagliari,1.18848167539267,81,541,1.1884816999999999,it
Edoardo Goldaniga,Cagliari,1.18848167539267,81,541,1.1884816999999999,it
Antonio Sanabria,Genoa,2.1419753086419755,51,2180,2.1419754,py
