Player,Nation,UrlFBref,TmPos,clubes
Kevin Akpoguma,ng,https://fbref.com/en/players/6ec6fde0/Kevin-Akpoguma,Centre-Back,['Düsseldorf' 'Hannover 96' 'Hoffenheim' 'Karlsruher']
David Alaba,at,https://fbref.com/en/players/05439de2/David-Alaba,Centre-Back,['Bayern Munich' 'Bayern Munich II' 'Hoffenheim' 'Real Madrid']
Sofiane Alakouch,ma,https://fbref.com/en/players/5314e067/Sofiane-Alakouch,Right-Back,['Nîmes' 'Lausanne-Sport' 'Metz']
Tomás Alarcón,cl,https://fbref.com/en/players/99ea2ddd/Tomas-Alarcon,Defensive Midfield,"[""O'Higgins"" 'Cádiz']"
Lucas Alario,ar,https://fbref.com/en/players/834d0be5/Lucas-Alario,Centre-Forward,['Colón' 'River Plate' 'Leverkusen']
Jordi Alba,es,https://fbref.com/en/players/4601e194/Jordi-Alba,Left-Back,['Gimnàstic' 'Valencia' 'Barcelona']
Josué Albert,gf,https://fbref.com/en/players/3d738df0/Josue-Albert,Centre-Back,['Quevilly-Rouen' 'Clermont Foot']
Luis Alberto,es,https://fbref.com/en/players/5294a83f/Luis-Alberto,Central Midfield,['Sevilla' 'Barcelona B' 'Liverpool' 'Málaga' 'La Coruña' 'Lazio']
Raúl Albiol,es,https://fbref.com/en/players/4bd414c1/Raul-Albiol,Centre-Back,['Getafe' 'Valencia' 'Real Madrid' 'Napoli' 'Villarreal']
Marc Albrighton,en,https://fbref.com/en/players/b827d5b3/Marc-Albrighton,Right Midfield,['Aston Villa' 'Leicester City' 'Wigan Athletic']
Paco Alcácer,es,https://fbref.com/en/players/a7a9d95a/Paco-Alcacer,Centre-Forward,['Valencia' 'Getafe' 'Barcelona' 'Dortmund' 'Villarreal']
Thiago Alcántara,es,https://fbref.com/en/players/77e84962/Thiago-Alcantara,Central Midfield,['Barcelona' 'Barcelona B' 'Bayern Munich' 'Liverpool']
Rubén Alcaraz,es,https://fbref.com/en/players/036bba5f/Ruben-Alcaraz,Central Midfield,['Girona' 'Almería' 'Valladolid' 'Cádiz']
Omar Alderete,py,https://fbref.com/en/players/bb08bce9/Omar-Alderete,Centre-Back,"['Cerro Porteño' 'Gimnasia ELP' 'CA Huracán' 'Basel' 'Hertha BSC'
 'Valencia']"
Iván Alejo,es,https://fbref.com/en/players/3d7e48ce/Ivan-Alejo,Right Winger,['Alcorcón' 'Eibar' 'Málaga' 'Getafe' 'Cádiz']
Carles Aleñá,es,https://fbref.com/en/players/6c811eb7/Carles-Alena,Central Midfield,['Barcelona' 'Barcelona B' 'Betis' 'Getafe']
Trent Alexander-Arnold,en,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,Right-Back,['Liverpool']
Mircea Alexandru Tirlea,ro,https://fbref.com/en/players/683a1d81/Mircea-Alexandru-Tirlea,Right-Back,['Alavés']
Mohamed Ali Cho,fr,https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho,Right Winger,['Angers']
Allan,br,https://fbref.com/en/players/cc700722/Allan,Central Midfield,['Udinese' 'Napoli' 'Everton']
Allan,br,https://fbref.com/en/players/b15e93aa/Allan,Defensive Midfield,"['SJK' 'Sint-Truiden' 'Hertha BSC' 'Eint Frankfurt' 'Fluminense'
 'Atlético Mineiro']"
Jim Allevinah,ga,https://fbref.com/en/players/1956b948/Jim-Allevinah,Left Winger,['Clermont Foot']
