Player,Nation,UrlFBref,TmPos,clubes
Ousmane Dembélé,fr,https://fbref.com/en/players/b19db005/Ousmane-Dembele,Right Winger,['Rennes' 'Dortmund' 'Barcelona']
Yusuf Demir,at,https://fbref.com/en/players/fa265f6d/Yusuf-Demir,Right Winger,['Rapid Wien' 'Barcelona']
Merih Demiral,tr,https://fbref.com/en/players/e3cceee6/Merih-Demiral,Centre-Back,['Alanyaspor' 'Sassuolo' 'Juventus' 'Atalanta']
Kerem Demirbay,de,https://fbref.com/en/players/54b4dc4e/Kerem-Demirbay,Central Midfield,"['Dortmund II' 'Düsseldorf' 'Hamburger SV' 'Hoffenheim' 'Kaiserslautern'
 'Leverkusen']"
Ermedin Demirović,ba,https://fbref.com/en/players/ed79b7d3/Ermedin-Demirovic,Centre-Forward,['Leipzig U19' 'Alavés' 'Almería' 'Sochaux' 'St. Gallen' 'Freiburg']
Diego Demme,de,https://fbref.com/en/players/dc3fa3b5/Diego-Demme,Defensive Midfield,['Arminia' 'Paderborn 07' 'RB Leipzig' 'Napoli']
Jason Denayer,be,https://fbref.com/en/players/47af88b8/Jason-Denayer,Centre-Back,['Celtic' 'Manchester City' 'Galatasaray' 'Sunderland' 'Lyon']
Leander Dendoncker,be,https://fbref.com/en/players/5a7301ae/Leander-Dendoncker,Defensive Midfield,['Anderlecht' 'Wolves']
Emmanuel Dennis,ng,https://fbref.com/en/players/2c44a35d/Emmanuel-Dennis,Centre-Forward,['Club Brugge' 'Köln' 'Watford' 'Zorya Luhansk']
Fabio Depaoli,it,https://fbref.com/en/players/d97f2e8d/Fabio-Depaoli,Right-Back,['Chievo' 'Sampdoria' 'Benevento' 'Atalanta' 'Hellas Verona']
Fabio Depaoli,it,https://fbref.com/en/players/d97f2e8d/Fabio-Depaoli,Right-Back,['Chievo' 'Sampdoria' 'Benevento' 'Atalanta' 'Hellas Verona']
Memphis Depay,nl,https://fbref.com/en/players/8f696594/Memphis-Depay,Centre-Forward,['Barcelona' 'Lyon' 'Manchester Utd' 'PSV Eindhoven']
Mike van der Hoorn,nl,https://fbref.com/en/players/25f50295/Mike-van-der-Hoorn,Centre-Back,['Utrecht' 'Ajax' 'Jong Ajax' 'Swansea City' 'Arminia']
Sergiño Dest,us,https://fbref.com/en/players/5976f83e/Sergino-Dest,Right-Back,['Jong Ajax' 'Ajax' 'Barcelona']
Mattia Destro,it,https://fbref.com/en/players/d7d32194/Mattia-Destro,Centre-Forward,['Genoa' 'Siena' 'Roma' 'Milan' 'Bologna']
Gerard Deulofeu,es,https://fbref.com/en/players/39583cfd/Gerard-Deulofeu,Left Winger,['Barcelona' 'Barcelona B' 'Everton' 'Milan' 'Sevilla' 'Udinese' 'Watford']
Kiernan Dewsbury Hall,en,https://fbref.com/en/players/5c74c0f5/Kiernan-Dewsbury-Hall,Defensive Midfield,['Blackpool' 'Leicester City' 'Luton Town']
Jacopo Dezi,it,https://fbref.com/en/players/e921b9db/Jacopo-Dezi,Central Midfield,['Crotone' 'Bari' 'Perugia' 'Parma' 'Empoli' 'Virtus Entella' 'Venezia']
Samuel Di Carmine,it,https://fbref.com/en/players/ef94dc2f/Samuel-Di-Carmine,Centre-Forward,"['Fiorentina' 'QPR' 'Gallipoli' 'Frosinone' 'Cittadella' 'Juve Stabia'
 'Virtus Entella' 'Perugia' 'Hellas Verona' 'Crotone' 'Cremonese']"
Federico Di Francesco,it,https://fbref.com/en/players/1fca9171/Federico-Di-Francesco,Left Winger,['Bologna' 'Empoli' 'Pescara' 'SPAL' 'Sassuolo' 'Virtus Lanciano']
Giovanni Di Lorenzo,it,https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo,Right-Back,['Reggina' 'Empoli' 'Napoli']
Ángel Di María,ar,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,Right Winger,['Benfica' 'Real Madrid' 'Manchester Utd' 'Paris S-G']
Francesco Di Mariano,it,https://fbref.com/en/players/35a2557c/Francesco-Di-Mariano,Left Winger,['Novara' 'Venezia' 'Juve Stabia' 'Lecce']
Francesco Di Tacchio,it,https://fbref.com/en/players/b5c3ff9f/Francesco-Di-Tacchio,Defensive Midfield,"['Ascoli' 'Frosinone' 'Juve Stabia' 'Virtus Entella' 'Pisa' 'Avellino'
 'Salernitana']"
Boulaye Dia,sn,https://fbref.com/en/players/244bc2c8/Boulaye-Dia,Centre-Forward,['Reims' 'Villarreal']
Moussa Diaby,fr,https://fbref.com/en/players/aeed5c06/Moussa-Diaby,Left Winger,['Crotone' 'Paris S-G' 'Leverkusen']
Yadaly Diaby,fr,https://fbref.com/en/players/5630a6e0/Yadaly-Diaby,Attacking Midfield,['Clermont Foot']
Mouctar Diakhaby,gn,https://fbref.com/en/players/d2110326/Mouctar-Diakhaby,Centre-Back,['Lyon' 'Valencia']
Ibrahim Diakité,fr,https://fbref.com/en/players/d8c19a60/Ibrahim-Diakite,Right-Back,['Reims']
Abdou Diallo,sn,https://fbref.com/en/players/fc62f087/Abdou-Diallo,Centre-Back,['Monaco' 'Zulte Waregem' 'Mainz 05' 'Dortmund' 'Paris S-G']
Habib Diallo,sn,https://fbref.com/en/players/6605d143/Habib-Diallo,Centre-Forward,['Metz' 'Brest' 'Strasbourg']
Ibrahima Diallo,fr,https://fbref.com/en/players/11ff3d56/Ibrahima-Diallo,Defensive Midfield,['Monaco' 'Brest' 'Southampton']
Mouhamadou Diarra,sn,https://fbref.com/en/players/6d0fe035/Mouhamadou-Diarra,Defensive Midfield,['Strasbourg']
Stéphane Diarra,fr,https://fbref.com/en/players/29939a1d/Stephane-Diarra,Right Winger,['Evian' 'Le Mans' 'Lorient']
Raphael Dias Belloli,br,https://fbref.com/en/players/3423f250/Raphael-Dias-Belloli,Right Winger,['Avaí' 'Vitória' 'Sporting CP' 'Rennes' 'Leeds Utd U23' 'Leeds United']
Rúben Dias,pt,https://fbref.com/en/players/31c69ef1/Ruben-Dias,Centre-Back,['Benfica' 'Manchester City']
Krepin Diatta,sn,https://fbref.com/en/players/8104e41e/Krepin-Diatta,Right Winger,['Sarpsborg 08' 'Club Brugge' 'Monaco']
Amadou Diawara,gn,https://fbref.com/en/players/bf309d24/Amadou-Diawara,Defensive Midfield,['Bologna' 'Napoli' 'Roma']
Brahim Díaz,es,https://fbref.com/en/players/407feb71/Brahim-Diaz,Attacking Midfield,['Manchester City' 'Real Madrid' 'Milan']
Luis Díaz,co,https://fbref.com/en/players/4a1a9578/Luis-Diaz,Left Winger,['Junior' 'Porto' 'Liverpool']
Víctor Díaz,es,https://fbref.com/en/players/3624ce4c/Victor-Diaz,Right-Back,['Sevilla B' 'Lugo' 'Recreativo' 'Leganés' 'Granada']
Daniel Didavi,de,https://fbref.com/en/players/d3096421/Daniel-Didavi,Attacking Midfield,['Stuttgart II' 'Stuttgart' 'Nürnberg' 'Wolfsburg']
Bamba Dieng,sn,https://fbref.com/en/players/40774c6b/Bamba-Dieng,Centre-Forward,['Marseille']
Eric Dier,en,https://fbref.com/en/players/ac861941/Eric-Dier,Centre-Back,['Sporting CP' 'Tottenham']
Elhadji Dieye,sn,https://fbref.com/en/players/6a04bb7c/Elhadji-Dieye,attack,['Saint-Étienne']
Lucas Digne,fr,https://fbref.com/en/players/1b84dbe1/Lucas-Digne,Left-Back,['Lille' 'Paris S-G' 'Roma' 'Barcelona' 'Everton' 'Aston Villa']
Lucas Digne,fr,https://fbref.com/en/players/1b84dbe1/Lucas-Digne,Left-Back,['Lille' 'Paris S-G' 'Roma' 'Barcelona' 'Everton' 'Aston Villa']
Virgil van Dijk,nl,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk,Centre-Back,['Groningen' 'Celtic' 'Southampton' 'Liverpool']
Mitchell Dijks,nl,https://fbref.com/en/players/0a3065c8/Mitchell-Dijks,Left-Back,['Ajax' 'Heerenveen' 'Jong Ajax' 'Willem II' 'Norwich City' 'Bologna']
Javairô Dilrosun,nl,https://fbref.com/en/players/34a0f5ff/Javairo-Dilrosun,Left Winger,['Manchester City' 'Hertha BSC' 'Bordeaux']
Javairô Dilrosun,nl,https://fbref.com/en/players/34a0f5ff/Javairo-Dilrosun,Left Winger,['Manchester City' 'Hertha BSC' 'Bordeaux']
Federico Dimarco,it,https://fbref.com/en/players/970b8574/Federico-Dimarco,Left-Back,['Ascoli' 'Empoli' 'Hellas Verona' 'Inter' 'Parma' 'Sion']
Landry Dimata,be,https://fbref.com/en/players/b5f63410/Landry-Dimata,Centre-Forward,['Anderlecht' 'Espanyol' 'Oostende' 'Standard Liège' 'Wolfsburg']
Junior Dina Ebimbe,fr,https://fbref.com/en/players/95bb6ddc/Junior-Dina-Ebimbe,Central Midfield,['Dijon' 'Le Havre' 'Paris S-G']
Tristan Dingomé,cm,https://fbref.com/en/players/92b56413/Tristan-Dingome,Central Midfield,['Monaco' 'Le Havre' 'RE Mouscron' 'Troyes' 'Reims']
Sinaly Diomande,ci,https://fbref.com/en/players/6de23ab0/Sinaly-Diomande,Centre-Back,['Lyon']
Issa Diop,fr,https://fbref.com/en/players/a712ca2b/Issa-Diop,Centre-Back,['Toulouse' 'West Ham']
Sofiane Diop,fr,https://fbref.com/en/players/19053e31/Sofiane-Diop,Left Winger,['Monaco' 'Sochaux']
Andy Diouf,fr,https://fbref.com/en/players/9b5237b1/Andy-Diouf,Right Winger,['Rennes']
Assane Dioussé,sn,https://fbref.com/en/players/7f622eef/Assane-Diousse,Defensive Midfield,['Empoli' 'Saint-Étienne' 'Chievo' 'Ankaragücü']
Axel Disasi,fr,https://fbref.com/en/players/ad82197c/Axel-Disasi,Centre-Back,['Paris FC' 'Reims' 'Monaco']
Filippo Distefano,it,https://fbref.com/en/players/2110f96c/Filippo-Distefano,Second Striker,['Fiorentina']
Tiago Djaló,pt,https://fbref.com/en/players/b2336681/Tiago-Djalo,Centre-Back,['Lille']
Djené,tg,https://fbref.com/en/players/a4971d84/Djene,Centre-Back,['Alcorcón' 'Sint-Truiden' 'Getafe']
Moussa Djenepo,ml,https://fbref.com/en/players/254147d4/Moussa-Djenepo,Left Winger,['Standard Liège' 'Southampton']
Koffi Djidji,ci,https://fbref.com/en/players/933d3b51/Koffi-Djidji,Centre-Back,['Nantes' 'Torino' 'Crotone']
Alexander Djiku,gh,https://fbref.com/en/players/43e7a164/Alexander-Djiku,Centre-Back,['Bastia' 'Caen' 'Strasbourg']
Bryan Djile Nokoué,cm,https://fbref.com/en/players/75186a6a/Bryan-Djile-Nokoue,Right-Back,['Saint-Étienne']
Berat Djimsiti,al,https://fbref.com/en/players/6eee05f1/Berat-Djimsiti,Centre-Back,['Zürich' 'Atalanta' 'Avellino' 'Benevento']
Naïs Djouahra,fr,https://fbref.com/en/players/3594a357/Nais-Djouahra,Left Winger,['Real Sociedad' 'CD Mirandés' 'Real Sociedad B']
Lewis Dobbin,en,https://fbref.com/en/players/e814e1cf/Lewis-Dobbin,Left Winger,['Everton']
Matt Doherty,ie,https://fbref.com/en/players/d557d734/Matt-Doherty,Right-Back,['Hibernian' 'Wolves' 'Bury' 'Tottenham']
Jeremy Doku,be,https://fbref.com/en/players/fffea3e5/Jeremy-Doku,Right Winger,['Anderlecht' 'Rennes']
Kasper Dolberg,dk,https://fbref.com/en/players/cc83b74d/Kasper-Dolberg,Centre-Forward,['Silkeborg' 'Ajax' 'Jong Ajax' 'Nice']
Brandon Domingues,fr,https://fbref.com/en/players/2a00c6c0/Brandon-Domingues,Central Midfield,['Troyes']
Carlos Dominguez,es,https://fbref.com/en/players/3521abfe/Carlos-Dominguez,Centre-Back,['Celta Vigo']
Mario Dominguez,es,,,['Valencia']
Nicolás Domínguez,ar,https://fbref.com/en/players/20b3a502/Nicolas-Dominguez,Central Midfield,['Bologna' 'Vélez Sarsf']
John Donald,es,https://fbref.com/en/players/5e95c000/John-Donald,Defensive Midfield,['Elche']
Lee Dongjun,kr,https://fbref.com/en/players/96d0b6f0/Lee-Dongjun,Right Winger,"[""Busan I'Park"" 'Ulsan Hyundai' 'Hertha BSC']"
Anastasios Donis,gr,https://fbref.com/en/players/0f26fd24/Anastasios-Donis,Centre-Forward,['Lugano' 'Nice' 'Stuttgart' 'Reims' 'VVV-Venlo']
Niklas Dorsch,de,https://fbref.com/en/players/7f73bdf4/Niklas-Dorsch,Defensive Midfield,['Bayern Munich' 'Heidenheim' 'Gent' 'Augsburg']
Gabriel Dos Santos,br,https://fbref.com/en/players/67ac5bb8/Gabriel-Dos-Santos,Centre-Back,['Avaí' 'Lille' 'Troyes' 'Dinamo Zagreb' 'Arsenal']
Jodel Dossou,bj,https://fbref.com/en/players/a1dbfcb1/Jodel-Dossou,Right Winger,['Hartberg' 'Clermont Foot']
Lucas Douath,fr,https://fbref.com/en/players/3cd7820a/Lucas-Douath,Defensive Midfield,['Saint-Étienne']
Lohann Doucet,fr,https://fbref.com/en/players/dff0c299/Lohann-Doucet,Defensive Midfield,['Nantes']
Abdoulaye Doucouré,ml,https://fbref.com/en/players/02b29014/Abdoulaye-Doucoure,Central Midfield,['Rennes' 'Granada' 'Watford' 'Everton']
Cheick Doucouré,ml,https://fbref.com/en/players/ce4f40c7/Cheick-Doucoure,Defensive Midfield,['Lens']
Fodé Doucouré,ml,https://fbref.com/en/players/1bfe34dc/Fode-Doucoure,Right-Back,['Reims']
Ismaël Doukouré,fr,,,['Strasbourg' 'Valenciennes']
Kamory Doumbia,ml,https://fbref.com/en/players/9226aa22/Kamory-Doumbia,,['Reims']
Moussa Doumbia,ml,https://fbref.com/en/players/6481421d/Moussa-Doumbia,Left Winger,['Rostov' 'Arsenal Tula' 'Reims']
Souleyman Doumbia,ci,https://fbref.com/en/players/9daeac61/Souleyman-Doumbia,Left-Back,['Bari' 'Vicenza' 'Grasshopper' 'Rennes' 'Angers']
Kieran Dowell,en,https://fbref.com/en/players/2f6ec02a/Kieran-Dowell,Attacking Midfield,"['Everton' ""Nott'ham Forest"" 'Sheffield Utd' 'Derby County'
 'Wigan Athletic' 'Norwich City']"
Radu Drăgușin,ro,https://fbref.com/en/players/620922ed/Radu-Dragusin,Centre-Back,['Juventus' 'Sampdoria' 'Salernitana']
Radu Drăgușin,ro,https://fbref.com/en/players/620922ed/Radu-Dragusin,Centre-Back,['Juventus' 'Sampdoria' 'Salernitana']
Cody Drameh,en,https://fbref.com/en/players/e0d1510a/Cody-Drameh,Right-Back,['Cardiff City' 'Fulham' 'Leeds United' 'Leeds Utd U23']
Julian Draxler,de,https://fbref.com/en/players/1a992676/Julian-Draxler,Left Winger,['Schalke 04' 'Wolfsburg' 'Paris S-G']
Domingos Duarte,pt,https://fbref.com/en/players/93090f69/Domingos-Duarte,Centre-Back,['Belenenses' 'Chaves' 'La Coruña' 'Granada']
Óscar Duarte,cr,https://fbref.com/en/players/aa0ac32d/Oscar-Duarte,Centre-Back,['Club Brugge' 'Espanyol' 'Levante']
Rubén Duarte,es,https://fbref.com/en/players/1fe0492d/Ruben-Duarte,Left-Back,['Espanyol' 'Alavés']
Leo Dubois,fr,https://fbref.com/en/players/ff0ab48c/Leo-Dubois,Right-Back,['Nantes' 'Lyon']
Ondrej Duda,sk,https://fbref.com/en/players/79ca3e23/Ondrej-Duda,Attacking Midfield,['Hertha BSC' 'Köln' 'Legia Warsaw' 'Norwich City']
Jeremy Dudziak,tn,https://fbref.com/en/players/5a8d6540/Jeremy-Dudziak,Attacking Midfield,['Dortmund II' 'Dortmund' 'St. Pauli' 'Hamburger SV' 'Greuther Fürth']
Shane Duffy,ie,https://fbref.com/en/players/7314bba4/Shane-Duffy,Centre-Back,"['Burnley' 'Scunthorpe Utd' 'Everton' 'Yeovil Town' 'Blackburn' 'Brighton'
 'Celtic']"
Unai Dufur,es,https://fbref.com/en/players/c261b5dd/Unai-Dufur,Centre-Back,['Eibar' 'Osasuna']
Denzel Dumfries,nl,https://fbref.com/en/players/481c9ece/Denzel-Dumfries,Right Midfield,"[""Sparta R'dam"" 'Heerenveen' 'PSV Eindhoven' 'Inter']"
Paul Dummett,wl,https://fbref.com/en/players/3fe6bd8c/Paul-Dummett,Left-Back,['Gateshead' 'St Mirren' 'Newcastle Utd']
Alfred Duncan,gh,https://fbref.com/en/players/528492ea/Alfred-Duncan,Central Midfield,['Inter' 'Livorno' 'Sampdoria' 'Sassuolo' 'Fiorentina' 'Cagliari']
Lewis Dunk,en,https://fbref.com/en/players/282f75f3/Lewis-Dunk,Centre-Back,['Brighton' 'Bristol City']
Erik Durm,de,https://fbref.com/en/players/cf623c78/Erik-Durm,Right-Back,['Dortmund II' 'Dortmund' 'Huddersfield' 'Eint Frankfurt']
Hugo Duro,es,https://fbref.com/en/players/37e103f8/Hugo-Duro,Centre-Forward,['Getafe' 'Real Madrid' 'Valencia']
Hugo Duro,es,https://fbref.com/en/players/37e103f8/Hugo-Duro,Centre-Forward,['Getafe' 'Real Madrid' 'Valencia']
Jean-Kevin Duverne,fr,https://fbref.com/en/players/0cbc8baa/Jean-Kevin-Duverne,Centre-Back,['Lens' 'Brest']
Paulo Dybala,ar,https://fbref.com/en/players/e0921a4f/Paulo-Dybala,Second Striker,['Juventus' 'Palermo']
Edin Džeko,ba,https://fbref.com/en/players/3bb7f478/Edin-Dzeko,Centre-Forward,['Wolfsburg' 'Manchester City' 'Roma' 'Inter']
Enzo Ebosse,cm,https://fbref.com/en/players/9ba7b4fa/Enzo-Ebosse,Left-Back,['Angers' 'Le Mans' 'Lens']
Tyronne Ebuehi,ng,https://fbref.com/en/players/6af30900/Tyronne-Ebuehi,Right-Back,['ADO Den Haag' 'Twente' 'Venezia']
Éderson,br,https://fbref.com/en/players/a9202def/Ederson,Central Midfield,['Cruzeiro' 'Corinthians' 'Fortaleza' 'Salernitana']
Odsonne Édouard,fr,https://fbref.com/en/players/0562b7f1/Odsonne-Edouard,Centre-Forward,['Celtic' 'Crystal Palace' 'Paris S-G' 'Toulouse']
CJ Egan-Riley,en,,,['Manchester City']
Maximilian Eggestein,de,https://fbref.com/en/players/beb882a8/Maximilian-Eggestein,Central Midfield,['Werder Bremen' 'Wrd Bremen II' 'Freiburg']
Lilian Egloff,de,https://fbref.com/en/players/2f7fec15/Lilian-Egloff,Attacking Midfield,['Stuttgart U17' 'Stuttgart U19' 'Stuttgart']
Kingsley Ehizibue,nl,https://fbref.com/en/players/76b2817e/Kingsley-Ehizibue,Right-Back,['Zwolle' 'Köln']
Julian Eitschberger,de,https://fbref.com/en/players/943b9602/Julian-Eitschberger,Right-Back,['Hertha U17' 'Hertha BSC' 'Hertha U19']
Albin Ekdal,se,https://fbref.com/en/players/f503ea63/Albin-Ekdal,Defensive Midfield,"['Brommapojkarna' 'Juventus' 'Siena' 'Bologna' 'Cagliari' 'Hamburger SV'
 'Sampdoria']"
Hugo Ekitike,fr,https://fbref.com/en/players/5b92d896/Hugo-Ekitike,Right Winger,['Vejle BK' 'Reims']
Jurgen Ekkelenkamp,nl,https://fbref.com/en/players/73d6a176/Jurgen-Ekkelenkamp,Central Midfield,['Ajax' 'Jong Ajax' 'Hertha BSC']
Caleb Ekuban,gh,https://fbref.com/en/players/7afbd2c3/Caleb-Ekuban,Second Striker,['Genoa' 'Leeds United' 'Trabzonspor']
Anthony Elanga,se,https://fbref.com/en/players/2fba6108/Anthony-Elanga,Left Winger,['Manchester Utd']
Alberth Elis,hn,https://fbref.com/en/players/104b4ad3/Alberth-Elis,Right Winger,['Boavista' 'Bordeaux' 'Houston Dynamo' 'Monterrey']
Harvey Elliott,en,https://fbref.com/en/players/c8387671/Harvey-Elliott,Right Winger,['Fulham' 'Liverpool' 'Blackburn']
Elif Elmas,mk,https://fbref.com/en/players/cf007308/Elif-Elmas,Central Midfield,['Fenerbahçe']
Mohamed Elneny,eg,https://fbref.com/en/players/47a34c4f/Mohamed-Elneny,Defensive Midfield,['Basel' 'Arsenal' 'Beşiktaş']
Aritz Elustondo,es,https://fbref.com/en/players/f7dc2ae5/Aritz-Elustondo,Centre-Back,['Real Sociedad']
Nico Elvedi,ch,https://fbref.com/en/players/48035304/Nico-Elvedi,Centre-Back,"['Zürich' ""M'Gladbach""]"
Sepe Elye Wahi,fr,https://fbref.com/en/players/0d7b6576/Sepe-Elye-Wahi,Centre-Forward,['Montpellier']
Mohamed Elyounoussi,no,https://fbref.com/en/players/68dc0dac/Mohamed-Elyounoussi,Left Winger,['Sarpsborg 08' 'Molde' 'Basel' 'Southampton' 'Celtic']
Adri Embarba,es,https://fbref.com/en/players/db8f0eba/Adri-Embarba,Right Winger,['Rayo Vallecano' 'Espanyol']
Breel Embolo,ch,https://fbref.com/en/players/0b4f388a/Breel-Embolo,Centre-Forward,"['Basel' 'Schalke 04' ""M'Gladbach""]"
Emerson,br,https://fbref.com/en/players/df8b52a5/Emerson,Right-Back,['Ponte Preta' 'Atlético Mineiro' 'Betis' 'Barcelona' 'Tottenham']
Emerson,br,https://fbref.com/en/players/df8b52a5/Emerson,Right-Back,['Ponte Preta' 'Atlético Mineiro' 'Betis' 'Barcelona' 'Tottenham']
Renaud Emond,be,https://fbref.com/en/players/5c9ac7f0/Renaud-Emond,Centre-Forward,['Waasland-Bev' 'Standard Liège' 'Nantes']
Youssef En-Nesyri,ma,https://fbref.com/en/players/04e17fd5/Youssef-En-Nesyri,Centre-Forward,['Málaga' 'Leganés' 'Sevilla']
Keita Endo,jp,https://fbref.com/en/players/1a83027b/Keita-Endo,Left Winger,['Marinos' 'Union Berlin']
Wataru Endo,jp,https://fbref.com/en/players/c149016b/Wataru-Endo,Defensive Midfield,['Shonan Bellmare' 'Urawa Reds' 'Sint-Truiden' 'Stuttgart']
Christian Eriksen,dk,https://fbref.com/en/players/980522ec/Christian-Eriksen,Attacking Midfield,['Ajax' 'Tottenham' 'Inter' 'Brentford']
Martin Erlic,hr,https://fbref.com/en/players/0fee6bda/Martin-Erlic,Centre-Back,['Parma' 'Sassuolo' 'Spezia']
Gonzalo Escalante,ar,https://fbref.com/en/players/3f79a1c8/Gonzalo-Escalante,Central Midfield,['Catania' 'Eibar' 'Lazio' 'Alavés']
Gonzalo Escalante,ar,https://fbref.com/en/players/3f79a1c8/Gonzalo-Escalante,Central Midfield,['Catania' 'Eibar' 'Lazio' 'Alavés']
Sergio Escudero,es,https://fbref.com/en/players/b0616e3d/Sergio-Escudero,Left-Back,['Real Murcia' 'Schalke 04' 'Getafe' 'Sevilla' 'Granada']
Alfonso Espino,uy,https://fbref.com/en/players/db001fa9/Alfonso-Espino,Left-Back,['Nacional' 'Cádiz']
Estanis,es,https://fbref.com/en/players/ace50e9f/Estanis,Right Winger,['Barcelona']
Maxime Estève,fr,https://fbref.com/en/players/1a066e69/Maxime-Esteve,Centre-Back,['Montpellier']
Pervis Estupiñán,ec,https://fbref.com/en/players/d38fdf53/Pervis-Estupinan,Left-Back,['LDU de Quito' 'Granada' 'Almería' 'Mallorca' 'Osasuna' 'Villarreal']
Oghenekaro Etebo,ng,https://fbref.com/en/players/b579e83d/Oghenekaro-Etebo,Central Midfield,['Feirense' 'Las Palmas' 'Stoke City' 'Getafe' 'Galatasaray' 'Watford']
Jonny Evans,ni,https://fbref.com/en/players/f8fcd2a5/Jonny-Evans,Centre-Back,['Sunderland' 'Manchester Utd' 'West Brom' 'Leicester City']
Eberechi Eze,en,https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze,Attacking Midfield,['QPR' 'Wycombe' 'Crystal Palace' 'Crystal Palace U23']
Abdessamad Ezzalzouli,ma,https://fbref.com/en/players/bed68338/Abdessamad-Ezzalzouli,Left Winger,['Barcelona']
Fabinho,br,https://fbref.com/en/players/7f3b388c/Fabinho,Defensive Midfield,['Real Madrid B' 'Real Madrid' 'Monaco' 'Liverpool']
Fábio,br,https://fbref.com/en/players/bc7b4580/Fabio,Right-Back,['Manchester Utd' 'QPR' 'Cardiff City' 'Middlesbrough' 'Nantes']
Cesc Fàbregas,es,https://fbref.com/en/players/33508c78/Cesc-Fabregas,Central Midfield,['Arsenal' 'Barcelona' 'Chelsea' 'Monaco']
Wout Faes,be,https://fbref.com/en/players/9c221d14/Wout-Faes,Centre-Back,['Anderlecht' 'Heerenveen' 'Excelsior' 'Oostende' 'Reims']
Wahidullah Faghir,dk,https://fbref.com/en/players/93c9e7d9/Wahidullah-Faghir,Centre-Forward,['Vejle BK' 'Stuttgart']
Romain Faivre,fr,https://fbref.com/en/players/745ca0a3/Romain-Faivre,Left Midfield,['Monaco' 'Brest' 'Lyon']
Romain Faivre,fr,https://fbref.com/en/players/745ca0a3/Romain-Faivre,Left Midfield,['Monaco' 'Brest' 'Lyon']
Radamel Falcao,co,https://fbref.com/en/players/66116290/Radamel-Falcao,Centre-Forward,"['Porto' 'Atlético Madrid' 'Monaco' 'Manchester Utd' 'Chelsea'
 'Galatasaray' 'Rayo Vallecano']"
Diego Falcinelli,it,https://fbref.com/en/players/a39b9ef6/Diego-Falcinelli,Centre-Forward,"['Sassuolo' 'Juve Stabia' 'Virtus Lanciano' 'Perugia' 'Crotone'
 'Fiorentina' 'Bologna' 'Red Star']"
Fali,es,https://fbref.com/en/players/72a84002/Fali,Centre-Back,['Gimnàstic' 'Barcelona B' 'Cádiz']
Paolo Faragò,it,https://fbref.com/en/players/9085dd7c/Paolo-Farago,Right-Back,['Novara' 'Cagliari' 'Bologna' 'Lecce']
Omar Faraj,se,,,['Levante']
Davide Faraoni,it,https://fbref.com/en/players/aae9d04a/Davide-Faraoni,Right Midfield,['Inter' 'Udinese' 'Watford' 'Perugia' 'Novara' 'Crotone' 'Hellas Verona']
Mohamed Fares,dz,https://fbref.com/en/players/b7a5bc86/Mohamed-Fares,Left Midfield,['Hellas Verona' 'SPAL' 'Lazio' 'Torino' 'Genoa']
Diego Farias,br,https://fbref.com/en/players/157d29b6/Diego-Farias,Left Winger,"['Nocerina' 'Padova' 'Sassuolo' 'Cagliari' 'Empoli' 'Lecce' 'Spezia'
 'Benevento']"
Ömer Faruk Beyaz,tr,https://fbref.com/en/players/8307b663/Omer-Faruk-Beyaz,Attacking Midfield,['Fenerbahçe' 'Stuttgart']
Noah Fatar,fr,https://fbref.com/en/players/2693f6bc/Noah-Fatar,Right Winger,['Angers']
Ansu Fati,es,https://fbref.com/en/players/0ba976e4/Ansu-Fati,Left Winger,['Barcelona']
Julien Faussurier,fr,https://fbref.com/en/players/767212e6/Julien-Faussurier,Right-Back,['Troyes' 'Sochaux' 'Brest']
Andrea Favilli,it,https://fbref.com/en/players/44510fde/Andrea-Favilli,Centre-Forward,['Juventus' 'Ascoli' 'Genoa' 'Hellas Verona' 'Monza']
Federico Fazio,ar,https://fbref.com/en/players/4e358a2d/Federico-Fazio,Centre-Back,['Sevilla B' 'Sevilla' 'Tottenham' 'Roma' 'Salernitana']
Aleix Febas,es,https://fbref.com/en/players/38126309/Aleix-Febas,Central Midfield,['Zaragoza' 'Albacete' 'Mallorca' 'Málaga']
Adrian Fein,de,https://fbref.com/en/players/60097ff6/Adrian-Fein,Defensive Midfield,"['Bayern U19' ""Jahn R'burg"" 'Hamburger SV' 'Bayern Munich II'
 'PSV Eindhoven' 'Greuther Fürth']"
Nabil Fekir,fr,https://fbref.com/en/players/bece776f/Nabil-Fekir,Attacking Midfield,['Lyon' 'Betis']
Felipe,br,https://fbref.com/en/players/de164de6/Felipe,Centre-Back,['Standard Liège' 'Hannover 96']
Felipe,br,https://fbref.com/en/players/51a3c4c8/Felipe,Centre-Back,['Corinthians' 'Porto' 'Atlético Madrid']
Luiz Felipe,it,https://fbref.com/en/players/15d0c248/Luiz-Felipe,Centre-Back,['Salernitana' 'Lazio']
Ohis Felix Uduokhai,de,https://fbref.com/en/players/677da306/Ohis-Felix-Uduokhai,Centre-Back,['1860 Munich' 'Wolfsburg' 'Augsburg']
